PY0Z0,PY0Z1,PY0Z2,PY1Z0,PY1Z1,PY1Z2,PX0Z0,PX0Z1,PX0Z2,PX1Z0,PX1Z1,PX1Z2,$\alpha$
1,1,1,0,0,0,1,1,1,0,0,0,0
0,0,0,1,1,1,1,1,1,0,0,0,-1
1,1,1,0,0,0,1,1,1,0,0,0,1
0,0,0,1,1,1,1,1,1,0,0,0,0
1,1,1,0,0,0,0,1,1,1,0,0,0
1,0,0,0,1,1,0,1,1,1,0,0,-1
0,1,1,1,0,0,0,1,1,1,0,0,1
0,0,0,1,1,1,0,1,1,1,0,0,0
1,1,1,0,0,0,1,0,1,0,1,0,0
0,1,0,1,0,1,1,0,1,0,1,0,-1
1,0,1,0,1,0,1,0,1,0,1,0,1
0,0,0,1,1,1,1,0,1,0,1,0,0
1,1,1,0,0,0,0,0,1,1,1,0,0
1,1,0,0,0,1,0,0,1,1,1,0,-1
0,0,1,1,1,0,0,0,1,1,1,0,1
0,0,0,1,1,1,0,0,1,1,1,0,0
1,1,1,0,0,0,1,1,0,0,0,1,0
0,0,1,1,1,0,1,1,0,0,0,1,-1
1,1,0,0,0,1,1,1,0,0,0,1,1
0,0,0,1,1,1,1,1,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1,0,1,0
1,0,1,0,1,0,0,1,0,1,0,1,-1
0,1,0,1,0,1,0,1,0,1,0,1,1
0,0,0,1,1,1,0,1,0,1,0,1,0
1,1,1,0,0,0,1,0,0,0,1,1,0
0,1,1,1,0,0,1,0,0,0,1,1,-1
1,0,0,0,1,1,1,0,0,0,1,1,1
0,0,0,1,1,1,1,0,0,0,1,1,0
1,1,1,0,0,0,0,0,0,1,1,1,0
1,1,1,0,0,0,0,0,0,1,1,1,-1
0,0,0,1,1,1,0,0,0,1,1,1,1
0,0,0,1,1,1,0,0,0,1,1,1,0
